"Российская Федерация, г, Москва ДТП - всего (15,10,2017-29,10,2017)";"";"";"";"";"";"";"";"";"";"";"";
"№ п/п";"Дата ДТП";"Район";"Вид ДТП";"Дорога";"КМ";"М";"Адрес";"Погибло";"Ранено";"Кол-во ТС";"Кол-во участников";
"1,0";"29,10,2017";"Дмитровский";"Наезд на пешехода";"";"0";"0";"г Москва ш Дмитровское 89";"0,0";"1,0";"1,0";"2,0";
"2,0";"29,10,2017";"Митино";"Падение пассажира";"";"0";"0";"г Москва ул Дубравная 36";"0,0";"1,0";"1,0";"2,0";
"3,0";"29,10,2017";"Измайлово";"Столкновение";"";"0";"0";"г Москва ш Энтузиастов 33А";"0,0";"3,0";"3,0";"6,0";
"4,0";"29,10,2017";"Хамовники";"Наезд на пешехода";"";"0";"0";"г Москва б-р Зубовский 31-33";"0,0";"1,0";"2,0";"3,0";
"5,0";"29,10,2017";"Ярославский";"Наезд на пешехода";"";"0";"0";"г Москва ул Егора Абакумова 8";"0,0";"2,0";"1,0";"3,0";
"6,0";"29,10,2017";"Черемушки";"Наезд на пешехода";"";"0";"0";"г Москва ул Гарибальди 26 к,3,";"0,0";"1,0";"1,0";"2,0";
"7,0";"29,10,2017";"Первомайское поселение";"Наезд на пешехода";"";"0";"0";"п Птичное ул Центральная 17";"0,0";"1,0";"1,0";"2,0";
"8,0";"29,10,2017";"Зюзино";"Наезд на пешехода";"";"0";"0";"г Москва ул Каховка ул, Херсонская";"0,0";"1,0";"1,0";"2,0";
"9,0";"29,10,2017";"Южное Бутово";"Столкновение";"";"0";"0";"г Москва проезд Чечёрский 16";"0,0";"1,0";"3,0";"4,0";
"10,0";"29,10,2017";"Тропарево-Никулино";"Наезд на пешехода";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"49";"150";"г Москва  ";"1,0";"0,0";"1,0";"2,0";
"11,0";"29,10,2017";"Сосенское";"Наезд на пешехода";"";"0";"0";"  ";"0,0";"1,0";"1,0";"2,0";
"12,0";"29,10,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Столкновение";"А-109 Ильинское шоссе";"11";"0";"г Москва  ";"0,0";"2,0";"2,0";"4,0";
"13,0";"29,10,2017";"Северное Тушино";"Столкновение";"";"0";"0";"г Москва ул Планерная 26 1";"0,0";"1,0";"2,0";"2,0";
"14,0";"29,10,2017";"Бабушкинский";"Столкновение";"";"0";"0";"г Москва ул Енисейская 1";"0,0";"1,0";"2,0";"3,0";
"15,0";"29,10,2017";"Северное Медведково";"Наезд на пешехода";"";"0";"0";"г Москва ул Широкая 31";"0,0";"1,0";"1,0";"2,0";
"16,0";"29,10,2017";"Вешняки";"Наезд на пешехода";"";"0";"0";"г Москва ул Старый Гай 10";"0,0";"1,0";"1,0";"2,0";
"17,0";"29,10,2017";"Аэропорт";"Наезд на пешехода";"";"0";"0";"г Москва ул Черняховского 3";"0,0";"1,0";"1,0";"2,0";
"18,0";"28,10,2017";"Хамовники";"Наезд на препятствие";"";"0";"0";"г Москва наб Новодевичья 2";"1,0";"1,0";"1,0";"2,0";
"19,0";"28,10,2017";"Головинский";"Столкновение";"";"0";"0";"г Москва ул Нарвская 18А";"0,0";"1,0";"2,0";"3,0";
"20,0";"28,10,2017";"Даниловский";"Столкновение";"";"0";"0";"г Москва ш Подольское 8";"0,0";"1,0";"2,0";"2,0";
"21,0";"28,10,2017";"Аэропорт";"Столкновение";"";"0";"0";"г Москва пр-кт Ленинградский 66";"0,0";"1,0";"2,0";"3,0";
"22,0";"28,10,2017";"Братеево";"Наезд на пешехода";"";"0";"0";"г Москва ул Ключевая 18";"0,0";"1,0";"1,0";"2,0";
"23,0";"28,10,2017";"Выхино-Жулебино";"Столкновение";"";"0";"0";"г Москва ул Привольная 61";"0,0";"1,0";"2,0";"2,0";
"24,0";"28,10,2017";"Филевский парк";"Наезд на пешехода";"";"0";"0";"г Москва ул Новозаводская 2";"0,0";"1,0";"1,0";"2,0";
"25,0";"28,10,2017";"Бибирево";"Наезд на пешехода";"";"0";"0";"г Москва ул Корнейчука 30";"1,0";"0,0";"1,0";"2,0";
"26,0";"28,10,2017";"Филевский парк";"Наезд на пешехода";"";"0";"0";"г Москва проезд Береговой 7";"0,0";"1,0";"1,0";"2,0";
"27,0";"28,10,2017";"Перово";"Наезд на пешехода";"";"0";"0";"г Москва ул Владимирская 1-я 4";"0,0";"1,0";"1,0";"2,0";
"28,0";"28,10,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 47стр 3";"0,0";"1,0";"2,0";"3,0";
"29,0";"28,10,2017";"Ломоносовский";"Наезд на пешехода";"";"0";"0";"г Москва ул Марии Ульяновой 7";"0,0";"1,0";"1,0";"2,0";
"30,0";"28,10,2017";"Отрадное";"Наезд на пешехода";"";"0";"0";"г Москва ш Алтуфьевское 12";"1,0";"0,0";"1,0";"2,0";
"31,0";"28,10,2017";"Свиблово";"Наезд на пешехода";"";"0";"0";"п Свиблово проезд Серебрякова 14";"0,0";"1,0";"1,0";"2,0";
"32,0";"28,10,2017";"Ярославский";"Столкновение";"";"0";"0";"г Москва ш Ярославское 137";"0,0";"1,0";"2,0";"3,0";
"33,0";"28,10,2017";"Новофёдоровское поселение";"Опрокидывание";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"60";"120";"  ";"0,0";"1,0";"1,0";"2,0";
"34,0";"28,10,2017";"Щербинка";"Наезд на пешехода";"";"0";"0";"г Щербинка ул Спортивная 13";"0,0";"1,0";"1,0";"2,0";
"35,0";"28,10,2017";"Внуковское";"Столкновение";"";"0";"0";"  ";"0,0";"3,0";"2,0";"3,0";
"36,0";"28,10,2017";"Новофёдоровское поселение";"Наезд на пешехода";"";"0";"0";"  ";"0,0";"1,0";"1,0";"2,0";
"37,0";"28,10,2017";"Щербинка";"Наезд на пешехода";"";"0";"0";"г Щербинка ул 40 лет Октября 3а";"0,0";"1,0";"1,0";"2,0";
"38,0";"28,10,2017";"Первомайское поселение";"Наезд на препятствие";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"39";"100";"  ";"0,0";"2,0";"1,0";"3,0";
"39,0";"28,10,2017";"Царицыно";"Столкновение";"";"0";"0";"г Москва ул Каспийская 40";"0,0";"1,0";"2,0";"2,0";
"40,0";"28,10,2017";"Ивановское";"Столкновение";"";"0";"0";"г Москва ш Энтузиастов 51";"0,0";"1,0";"3,0";"4,0";
"41,0";"28,10,2017";"Вороновское поселение";"Наезд на пешехода";"";"0";"0";"п ЛМС  ";"0,0";"1,0";"1,0";"2,0";
"42,0";"28,10,2017";"Московский";"Наезд на стоящее ТС";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"26";"900";"  ";"0,0";"1,0";"3,0";"3,0";
"43,0";"28,10,2017";"Северное Медведково";"Наезд на пешехода";"";"0";"0";"г Москва ул Грекова 3 кор, 1";"0,0";"1,0";"1,0";"2,0";
"44,0";"28,10,2017";"Фили-Давыдково";"Столкновение";"";"0";"0";"г Москва пр-кт Кутузовский 28";"1,0";"0,0";"2,0";"2,0";
"45,0";"28,10,2017";"Северное Медведково";"Столкновение";"";"0";"0";"г Москва проезд Шокальского 69";"0,0";"1,0";"2,0";"3,0";
"46,0";"28,10,2017";"Проспект Вернадского";"Столкновение";"";"0";"0";"г Москва ул Лобачевского 90";"0,0";"1,0";"2,0";"2,0";
"47,0";"28,10,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва проезд Нижнелихоборский 3-й 4";"0,0";"1,0";"2,0";"2,0";
"48,0";"28,10,2017";"Выхино-Жулебино";"Столкновение";"";"0";"0";"г Москва ул Генерала Кузнецова 19 кор1";"0,0";"1,0";"2,0";"3,0";
"49,0";"28,10,2017";"Капотня";"Наезд на препятствие";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"16";"0";"г Москва км МКАД 16-й ";"0,0";"1,0";"1,0";"1,0";
"50,0";"28,10,2017";"Лефортово";"Столкновение";"Третье транспортное кольцо (внешняя сторона)";"36";"0";"г Москва ш Энтузиастов 7";"0,0";"1,0";"2,0";"2,0";
"51,0";"28,10,2017";"Аэропорт";"Наезд на пешехода";"";"0";"0";"г Москва ул Масловка В, 9";"0,0";"1,0";"1,0";"2,0";
"52,0";"27,10,2017";"Головинский";"Столкновение";"";"0";"0";"г Москва ул Онежская 2к3";"0,0";"3,0";"2,0";"4,0";
"53,0";"27,10,2017";"Алтуфьевский";"Столкновение";"";"0";"0";"г Москва ш Алтуфьевское 72";"0,0";"1,0";"2,0";"2,0";
"54,0";"27,10,2017";"Некрасовка";"Наезд на пешехода";"";"0";"0";"п Некрасовка ул Липчанского 3";"0,0";"1,0";"1,0";"2,0";
"55,0";"27,10,2017";"Даниловский";"Наезд на пешехода";"";"0";"0";"г Москва ул Автозаводская 23 15";"0,0";"1,0";"1,0";"2,0";
"56,0";"27,10,2017";"Ховрино";"Наезд на пешехода";"";"0";"0";"г Москва ул Беломорская 36";"0,0";"1,0";"1,0";"2,0";
"57,0";"27,10,2017";"Метрогородок";"Столкновение";"";"0";"0";"г Москва ул Лосиноостровская 40";"0,0";"1,0";"2,0";"2,0";
"58,0";"27,10,2017";"Сокольники";"Столкновение";"";"0";"0";"г Москва проезд Ростокинский 6 Лучевой просек";"0,0";"1,0";"2,0";"2,0";
"59,0";"27,10,2017";"Аэропорт";"Иной вид ДТП";"";"0";"0";"г Москва ул Асеева 3";"0,0";"1,0";"1,0";"1,0";
"60,0";"27,10,2017";"Гагаринский";"Наезд на пешехода";"";"0";"0";"г Москва ул Строителей 17, корп, 2";"0,0";"1,0";"1,0";"2,0";
"61,0";"27,10,2017";"Нижегородский";"Наезд на пешехода";"";"0";"0";"г Москва ул Калитниковская Ср, 51, кор, 1";"0,0";"1,0";"1,0";"2,0";
"62,0";"27,10,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва ул Тверская-Ямская 4-Я 6 12";"0,0";"1,0";"1,0";"2,0";
"63,0";"27,10,2017";"Дмитровский";"Падение пассажира";"";"0";"0";"г Москва ул Ангарская 61";"0,0";"1,0";"1,0";"2,0";
"64,0";"27,10,2017";"Южное Бутово";"Наезд на пешехода";"";"0";"0";"г Москва ул Венёвская 23";"0,0";"1,0";"1,0";"2,0";
"65,0";"27,10,2017";"Восточное Дегунино";"Наезд на пешехода";"";"0";"0";"г Москва ул Дубнинская 71к1";"0,0";"1,0";"1,0";"2,0";
"66,0";"27,10,2017";"Новокосино";"Столкновение";"";"0";"0";"г Москва ш Носовихинское 2";"0,0";"1,0";"2,0";"3,0";
"67,0";"27,10,2017";"Щербинка";"Наезд на пешехода";"";"0";"0";"г Щербинка ул Железнодорожная 22";"0,0";"2,0";"1,0";"3,0";
"68,0";"27,10,2017";"Печатники";"Падение пассажира";"";"0";"0";"г Москва ул Шоссейная 8";"0,0";"1,0";"1,0";"2,0";
"69,0";"27,10,2017";"Печатники";"Падение пассажира";"";"0";"0";"г Москва ул Гурьянова 2, стр, 3";"0,0";"1,0";"1,0";"2,0";
"70,0";"27,10,2017";"Южное Бутово";"Столкновение";"";"0";"0";"г Москва ш Варшавское дом 170 Ж";"0,0";"1,0";"2,0";"2,0";
"71,0";"27,10,2017";"Щаповское поселение";"Столкновение";"";"0";"0";"  ";"1,0";"0,0";"3,0";"4,0";
"72,0";"27,10,2017";"Роговское поселение";"Столкновение";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"74";"100";"  ";"0,0";"1,0";"3,0";"4,0";
"73,0";"27,10,2017";"Люблино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"13";"0";"г Москва км МКАД 13-й ";"0,0";"1,0";"2,0";"2,0";
"74,0";"27,10,2017";"Бирюлево Восточное";"Наезд на пешехода";"";"0";"0";"г Москва ул Бирюлёвская 24 К2";"0,0";"1,0";"1,0";"2,0";
"75,0";"27,10,2017";"Сосенское";"Столкновение";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"26";"0";"  ";"0,0";"1,0";"3,0";"3,0";
