"Российская Федерация, г, Москва ДТП - всего (29,12,2017-31,12,2017)";"";"";"";"";"";"";"";"";"";"";"";
"№ п/п";"Дата ДТП";"Район";"Вид ДТП";"Дорога";"КМ";"М";"Адрес";"Погибло";"Ранено";"Кол-во ТС";"Кол-во участников";
"1,0";"31,12,2017";"Люблино";"Наезд на пешехода";"";"0";"0";"г Москва ул Краснодонская 2 корп, 1";"1,0";"0,0";"1,0";"2,0";
"2,0";"31,12,2017";"Косино-Ухтомский";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"7";"650";"п Ухтомский  ";"0,0";"1,0";"2,0";"2,0";
"3,0";"31,12,2017";"Чертаново Центральное";"Столкновение";"";"0";"0";"г Москва ш Варшавское 132 СТР8";"0,0";"1,0";"2,0";"3,0";
"4,0";"31,12,2017";"Рязанский";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Рязанский 2 корп, 2";"0,0";"1,0";"1,0";"2,0";
"5,0";"31,12,2017";"Бабушкинский";"Наезд на пешехода";"";"0";"0";"г Москва ул Менжинского 32";"1,0";"0,0";"1,0";"2,0";
"6,0";"31,12,2017";"Гольяново";"Наезд на пешехода";"";"0";"0";"г Москва ул Уральская 13";"0,0";"1,0";"1,0";"2,0";
"7,0";"31,12,2017";"Западное Дегунино";"Столкновение";"";"0";"0";"г Москва ш Коровинское 6";"0,0";"1,0";"2,0";"2,0";
"8,0";"31,12,2017";"Донской";"Столкновение";"";"0";"0";"г Москва ул Тульская Б, 52";"0,0";"2,0";"2,0";"3,0";
"9,0";"31,12,2017";"Чертаново Северное";"Столкновение";"";"0";"0";"г Москва ш Варшавское 128 К1";"0,0";"2,0";"2,0";"3,0";
"10,0";"31,12,2017";"Десёновское";"Столкновение";"";"0";"0";"  ";"0,0";"2,0";"3,0";"3,0";
"11,0";"31,12,2017";"Донской";"Наезд на пешехода";"Третье транспортное кольцо (внешняя сторона)";"11";"0";"г Москва проезд Донской 5-й 5г";"0,0";"1,0";"1,0";"2,0";
"12,0";"31,12,2017";"Северное Бутово";"Столкновение";"";"0";"0";"п Бутово ул Варшавское шоссе Коктебельская";"0,0";"1,0";"2,0";"3,0";
"13,0";"31,12,2017";"Клёновское";"Столкновение";"";"0";"0";"  ";"0,0";"2,0";"2,0";"3,0";
"14,0";"31,12,2017";"Марьино";"Столкновение";"";"0";"0";"г Москва ул Перерва 50";"0,0";"4,0";"2,0";"4,0";
"15,0";"31,12,2017";"Отрадное";"Наезд на пешехода";"";"0";"0";"г Москва ул Декабристов 10 корп,3";"0,0";"1,0";"1,0";"2,0";
"16,0";"31,12,2017";"Строгино";"Столкновение";"";"0";"0";"г Москва проезд Неманский 10";"0,0";"1,0";"2,0";"3,0";
"17,0";"31,12,2017";"Свиблово";"Столкновение";"";"0";"0";"п Свиблово проезд Серебрякова вл,2";"0,0";"1,0";"2,0";"2,0";
"18,0";"31,12,2017";"Коптево";"Столкновение";"";"0";"0";"г Москва ул Академическая Б, 67";"0,0";"1,0";"2,0";"3,0";
"19,0";"30,12,2017";"Дорогомилово";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Кутузовский 9, корп, 1";"0,0";"1,0";"1,0";"2,0";
"20,0";"30,12,2017";"Очаково-Матвеевское";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"47";"200";"п Матвеевское  ";"0,0";"1,0";"2,0";"3,0";
"21,0";"30,12,2017";"Гагаринский";"Падение пассажира";"";"0";"0";"г Москва пр-кт Ленинский 75";"0,0";"1,0";"1,0";"2,0";
"22,0";"30,12,2017";"Богородское";"Столкновение";"";"0";"0";"г Москва ул Ивантеевская 15к1";"0,0";"2,0";"2,0";"4,0";
"23,0";"30,12,2017";"Теплый Стан";"Столкновение";"";"0";"0";"г Москва ул Тёплый Стан 3";"0,0";"1,0";"2,0";"2,0";
"24,0";"30,12,2017";"Сокольники";"Наезд на пешехода";"";"0";"0";"г Москва ул Сокольническая 5-я 2";"0,0";"1,0";"1,0";"2,0";
"25,0";"30,12,2017";"Дорогомилово";"Столкновение";"";"0";"0";"г Москва пр-кт Кутузовский 33";"0,0";"1,0";"2,0";"3,0";
"26,0";"30,12,2017";"Хорошево-Мневники";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Маршала Жукова 49";"0,0";"1,0";"1,0";"2,0";
"27,0";"30,12,2017";"Текстильщики";"Наезд на пешехода";"";"0";"0";"г Москва б-р Волжский 49";"0,0";"1,0";"1,0";"2,0";
