"Российская Федерация, г, Москва ДТП - всего (29,12,2017-31,12,2017)";"";"";"";"";"";"";"";"";"";"";"";
"28,0";"30,12,2017";"Куркино";"Наезд на стоящее ТС";"";"0";"0";"г Москва ш Новокуркинское 51";"0,0";"1,0";"2,0";"3,0";
"29,0";"30,12,2017";"Тимирязевский";"Наезд на пешехода";"";"0";"0";"г Москва ш Дмитровское 49";"1,0";"0,0";"1,0";"2,0";
"30,0";"30,12,2017";"Левобережный";"Столкновение";"";"0";"0";"г Москва ул Беломорская 40";"0,0";"1,0";"2,0";"2,0";
"31,0";"30,12,2017";"Чертаново Центральное";"Наезд на пешехода";"";"0";"0";"г Москва ш Варшавское 129А";"0,0";"1,0";"1,0";"2,0";
"32,0";"30,12,2017";"Орехово-Борисово Северное";"Наезд на пешехода";"";"0";"0";"г Москва ул Маршала Захарова 16 К2";"0,0";"1,0";"1,0";"2,0";
"33,0";"30,12,2017";"Бирюлево Восточное";"Наезд на пешехода";"";"0";"0";"г Москва ул Бирюлёвская 53 1";"0,0";"1,0";"1,0";"2,0";
"34,0";"30,12,2017";"Косино-Ухтомский";"Столкновение";"";"0";"0";"п Ухтомский ул Косинская Б, 1";"0,0";"1,0";"2,0";"3,0";
"35,0";"30,12,2017";"Хорошевский";"Столкновение";"";"0";"0";"г Москва ул Магистральная 3-я 30 стр, 1";"0,0";"1,0";"2,0";"2,0";
"36,0";"30,12,2017";"Сосенское";"Столкновение";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"24";"100";"  ";"2,0";"3,0";"6,0";"8,0";
"37,0";"30,12,2017";"Новогиреево";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Свободный 33а";"0,0";"1,0";"1,0";"2,0";
"38,0";"30,12,2017";"Ясенево";"Наезд на стоящее ТС";"";"0";"0";"г Москва ул Голубинская 32 2";"0,0";"1,0";"3,0";"3,0";
"39,0";"30,12,2017";"Алексеевский";"Наезд на пешехода";"";"0";"0";"г Москва ул Ярославская 10";"0,0";"1,0";"1,0";"2,0";
"40,0";"30,12,2017";"Раменки";"Падение пассажира";"";"0";"0";"г Москва пр-кт Мичуринский 19";"0,0";"1,0";"1,0";"2,0";
"41,0";"29,12,2017";"Дмитровский";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"80";"600";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"42,0";"29,12,2017";"Можайский";"Наезд на пешехода";"";"0";"0";"г Москва ш Можайское 8";"0,0";"1,0";"1,0";"2,0";
"43,0";"29,12,2017";"Строгино";"Наезд на пешехода";"";"0";"0";"г Москва ул Маршала Катукова 23";"0,0";"1,0";"1,0";"2,0";
"44,0";"29,12,2017";"Кузьминки";"Наезд на стоящее ТС";"";"0";"0";"г Москва ул Юных Ленинцев 12";"0,0";"1,0";"2,0";"2,0";
"45,0";"29,12,2017";"Московский";"Столкновение";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"24";"500";"г Московский  ";"0,0";"1,0";"4,0";"4,0";
"46,0";"29,12,2017";"Ховрино";"Наезд на пешехода";"";"0";"0";"г Москва ул Петрозаводская 26";"0,0";"1,0";"1,0";"2,0";
"47,0";"29,12,2017";"Южное Тушино";"Наезд на стоящее ТС";"";"0";"0";"г Москва ул Сходненская 37";"0,0";"3,0";"2,0";"5,0";
"48,0";"29,12,2017";"Крылатское";"Наезд на препятствие";"";"0";"0";"г Москва ш Рублевское 3 км";"1,0";"1,0";"1,0";"2,0";
"49,0";"29,12,2017";"Выхино-Жулебино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"10";"0";"г Москва км МКАД 10-й ";"0,0";"1,0";"3,0";"3,0";
"50,0";"29,12,2017";"Коптево";"Столкновение";"";"0";"0";"г Москва ул Академическая Б, 71";"0,0";"1,0";"3,0";"4,0";
"51,0";"29,12,2017";"Хорошево-Мневники";"Столкновение";"";"0";"0";"г Москва пр-кт Маршала Жукова 12";"0,0";"1,0";"2,0";"3,0";
"52,0";"29,12,2017";"Дмитровский";"Столкновение";"";"0";"0";"г Москва ш Коровинское 43";"0,0";"1,0";"2,0";"3,0";
"53,0";"29,12,2017";"Савеловский";"Наезд на пешехода";"";"0";"0";"г Москва пер Вятский 4-й 27";"0,0";"1,0";"1,0";"2,0";
"54,0";"29,12,2017";"Чертаново Центральное";"Наезд на пешехода";"";"0";"0";"г Москва ул Красного Маяка 1 К1";"0,0";"1,0";"1,0";"2,0";
"55,0";"29,12,2017";"Выхино-Жулебино";"Столкновение";"";"0";"0";"г Москва ул Авиаконструктора Миля 26";"0,0";"1,0";"2,0";"3,0";
"56,0";"29,12,2017";"Хамовники";"Наезд на пешехода";"";"0";"0";"г Москва ул Пречистенка 36СТР1";"1,0";"0,0";"1,0";"2,0";
"57,0";"29,12,2017";"Чертаново Северное";"Наезд на пешехода";"";"0";"0";"г Москва проезд Сумской 9Б";"0,0";"1,0";"1,0";"2,0";
"58,0";"29,12,2017";"Строгино";"Наезд на препятствие";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"64";"150";"г Москва  ";"0,0";"1,0";"1,0";"1,0";
"59,0";"29,12,2017";"Бирюлево Западное";"Столкновение";"";"0";"0";"г Москва ул Подольских Курсантов 20 К1";"0,0";"1,0";"4,0";"4,0";
"60,0";"29,12,2017";"Коптево";"Наезд на пешехода";"";"0";"0";"г Москва ул Зои и Александра Космодемьянских 35 1";"0,0";"1,0";"1,0";"2,0";
"61,0";"29,12,2017";"Тверской";"Столкновение";"";"0";"0";"г Москва ул Петровка 11";"0,0";"3,0";"2,0";"4,0";
"62,0";"29,12,2017";"Таганский";"Столкновение";"";"0";"0";"г Москва пр-кт Волгоградский 10стр,2";"0,0";"1,0";"3,0";"3,0";
"63,0";"29,12,2017";"Пресненский";"Наезд на пешехода";"";"0";"0";"г Москва ул Пресненский Вал 8 стр,3";"0,0";"1,0";"1,0";"2,0";
"64,0";"29,12,2017";"Савеловский";"Наезд на пешехода";"";"0";"0";"г Москва ул Бутырская 2";"0,0";"1,0";"1,0";"2,0";
"65,0";"29,12,2017";"Нижегородский";"Наезд на пешехода";"";"0";"0";"г Москва ул Новохохловская 3";"0,0";"1,0";"1,0";"2,0";
"66,0";"29,12,2017";"Куркино";"Столкновение";"";"0";"0";"г Москва ш Новокуркинское 1";"0,0";"2,0";"2,0";"4,0";
"67,0";"29,12,2017";"Печатники";"Столкновение";"";"0";"0";"г Москва ул Шоссейная 82";"0,0";"1,0";"3,0";"4,0";
"68,0";"29,12,2017";"Алтуфьевский";"Столкновение";"";"0";"0";"г Москва ш Алтуфьевское 72";"0,0";"2,0";"2,0";"3,0";
"69,0";"29,12,2017";"Люблино";"Наезд на пешехода";"";"0";"0";"г Москва ул Цимлянская 28";"0,0";"1,0";"1,0";"2,0";
;;;;;;;;
;;;;;;;;
;;;;;;;;
