"Российская Федерация, г, Москва ДТП - всего (29,11,2017-13,12,2017)";"";"";"";"";"";"";"";"";"";"";"";
"17,0";"13,12,2017";"Бескудниковский";"Наезд на пешехода";"";"0";"0";"г Москва ул 800-летия Москвы д, 5 кор, 1";"1,0";"0,0";"1,0";"2,0";
"18,0";"13,12,2017";"Капотня";"Наезд на стоящее ТС";"";"0";"0";"г Москва проезд Капотнинский 1-й 12А";"0,0";"1,0";"3,0";"2,0";
"19,0";"13,12,2017";"Марушкинское";"Столкновение";"";"0";"0";"д Большое Свинорье  31";"0,0";"1,0";"2,0";"2,0";
"20,0";"13,12,2017";"Сокол";"Наезд на пешехода";"";"0";"0";"г Москва ул Сальвадора Альенде 7";"0,0";"1,0";"1,0";"2,0";
"21,0";"13,12,2017";"Ново-Переделкино";"Наезд на пешехода";"";"0";"0";"г Москва ул Скульптора Мухиной 11";"0,0";"1,0";"1,0";"2,0";
"22,0";"13,12,2017";"Люблино";"Столкновение";"";"0";"0";"г Москва ул Люблинская 117стр4";"0,0";"1,0";"3,0";"3,0";
"23,0";"13,12,2017";"Десёновское";"Наезд на пешехода";"";"0";"0";"д Ватутинки  30";"0,0";"1,0";"1,0";"2,0";
"24,0";"13,12,2017";"Хорошево-Мневники";"Наезд на стоящее ТС";"";"0";"0";"г Москва пр-кт Маршала Жукова 35";"0,0";"1,0";"3,0";"3,0";
"25,0";"13,12,2017";"Хамовники";"Столкновение";"";"0";"0";"г Москва пл Смоленская-Сенная 27";"0,0";"1,0";"2,0";"3,0";
"26,0";"13,12,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Наезд на стоящее ТС";"М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой";"20";"0";"г Москва  ";"0,0";"2,0";"2,0";"3,0";
"27,0";"13,12,2017";"Бибирево";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"86";"100";"г Москва  ";"1,0";"1,0";"5,0";"5,0";
"28,0";"12,12,2017";"Басманный";"Наезд на препятствие";"Третье транспортное кольцо (внешняя сторона)";"35";"0";"г Москва наб Лефортовская 10";"0,0";"1,0";"1,0";"1,0";
"29,0";"12,12,2017";"Обручевский";"Столкновение";"";"0";"0";"г Москва пр-кт Ленинский 99";"0,0";"1,0";"2,0";"3,0";
"30,0";"12,12,2017";"Митино";"Наезд на пешехода";"";"0";"0";"г Москва пер Митинский 1-й 12";"0,0";"1,0";"1,0";"2,0";
"31,0";"12,12,2017";"Новогиреево";"Наезд на пешехода";"";"0";"0";"г Москва ул Кусковская 26";"1,0";"0,0";"1,0";"2,0";
"32,0";"12,12,2017";"Бескудниковский";"Наезд на пешехода";"";"0";"0";"г Москва ул Дубнинская 37 корп, 1";"0,0";"1,0";"1,0";"2,0";
"33,0";"12,12,2017";"Раменки";"Столкновение";"";"0";"0";"г Москва ул Мосфильмовская 13";"0,0";"1,0";"2,0";"3,0";
"34,0";"12,12,2017";"Донской";"Наезд на пешехода";"";"0";"0";"г Москва ул Орджоникидзе 12";"0,0";"1,0";"1,0";"2,0";
"35,0";"12,12,2017";"Котловка";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Севастопольский 18А";"0,0";"1,0";"1,0";"2,0";
"36,0";"12,12,2017";"Орехово-Борисово Южное";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"23";"800";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"37,0";"12,12,2017";"Басманный";"Наезд на пешехода";"";"0";"0";"г Москва пер Елизаветинский 6 стр,1";"0,0";"1,0";"1,0";"2,0";
"38,0";"12,12,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва ул Новослободская 12";"0,0";"2,0";"1,0";"3,0";
"39,0";"12,12,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва ул Новолесная 5";"0,0";"1,0";"1,0";"2,0";
"40,0";"12,12,2017";"Филевский парк";"Наезд на пешехода";"";"0";"0";"г Москва проезд Багратионовский 1";"0,0";"1,0";"1,0";"2,0";
"41,0";"12,12,2017";"Марьино";"Наезд на пешехода";"";"0";"0";"г Москва ул Люблинская 179 1";"0,0";"1,0";"1,0";"2,0";
"42,0";"12,12,2017";"Бескудниковский";"Столкновение";"";"0";"0";"г Москва ул Селигерская 28";"0,0";"1,0";"2,0";"3,0";
"43,0";"12,12,2017";"Люблино";"Наезд на пешехода";"";"0";"0";"г Москва ул Ставропольская 84стр3";"0,0";"1,0";"1,0";"2,0";
"44,0";"12,12,2017";"Южное Бутово";"Столкновение";"";"0";"0";"г Москва проезд Чечёрский 31";"0,0";"1,0";"2,0";"2,0";
"45,0";"12,12,2017";"Печатники";"Наезд на пешехода";"";"0";"0";"г Москва ул Шоссейная 51";"0,0";"1,0";"1,0";"2,0";
"46,0";"12,12,2017";"Хорошевский";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Ленинградский 39с1";"0,0";"1,0";"1,0";"2,0";
"47,0";"12,12,2017";"Бирюлево Восточное";"Наезд на пешехода";"";"0";"0";"г Москва ул Липецкая 4";"0,0";"2,0";"1,0";"3,0";
"48,0";"12,12,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва пер Никитский 7 стр, 2";"1,0";"0,0";"1,0";"2,0";
"49,0";"12,12,2017";"Чертаново Южное";"Наезд на стоящее ТС";"";"0";"0";"г Москва ш Варшавское 172А";"1,0";"0,0";"2,0";"2,0";
"50,0";"12,12,2017";"Гагаринский";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Ленинский 68";"0,0";"1,0";"1,0";"3,0";
"51,0";"12,12,2017";"Орехово-Борисово Южное";"Столкновение";"";"0";"0";"г Москва ул Ясеневая 14";"0,0";"1,0";"2,0";"2,0";
"52,0";"12,12,2017";"Отрадное";"Столкновение";"";"0";"0";"г Москва ул Декабристов 35г";"0,0";"1,0";"2,0";"2,0";
"53,0";"12,12,2017";"Гольяново";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"103";"600";"г Москва  ";"0,0";"1,0";"2,0";"3,0";
"54,0";"12,12,2017";"Гагаринский";"Столкновение";"Третье транспортное кольцо (внешняя сторона)";"12";"0";"г Москва пр-кт Ленинский 32";"0,0";"1,0";"3,0";"3,0";
"55,0";"12,12,2017";"Пресненский";"Столкновение";"";"0";"0";"г Москва ш Звенигородское 20 стр,3";"0,0";"1,0";"2,0";"3,0";
"56,0";"12,12,2017";"Братеево";"Наезд на пешехода";"";"0";"0";"г Москва ул Борисовские Пруды 24 2";"0,0";"1,0";"1,0";"2,0";
"57,0";"11,12,2017";"Царицыно";"Наезд на препятствие";"";"0";"0";"г Москва пр-кт Пролетарский 24Б";"0,0";"1,0";"1,0";"2,0";
"58,0";"11,12,2017";"Перово";"Столкновение";"";"0";"0";"г Москва ш Энтузиастов 56";"0,0";"1,0";"4,0";"5,0";
"59,0";"11,12,2017";"Даниловский";"Столкновение";"";"0";"0";"г Москва ул Симоновский Вал 12 К2";"0,0";"1,0";"2,0";"3,0";
"60,0";"11,12,2017";"Проспект Вернадского";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Вернадского 92к,1";"0,0";"1,0";"2,0";"3,0";
"61,0";"11,12,2017";"Нагатинский затон";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Андропова 29";"0,0";"1,0";"1,0";"2,0";
"62,0";"11,12,2017";"Щербинка";"Наезд на пешехода";"";"0";"0";"г Щербинка ул Барышевская 3-я 73";"0,0";"2,0";"1,0";"3,0";
"63,0";"11,12,2017";"Нагатино-Садовники";"Наезд на пешехода";"";"0";"0";"г Москва ул Нагатинская 16Г";"0,0";"1,0";"1,0";"2,0";
"64,0";"11,12,2017";"Строгино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"64";"240";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"65,0";"11,12,2017";"Зюзино";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Севастопольский 18";"0,0";"1,0";"1,0";"2,0";
"66,0";"11,12,2017";"Головинский";"Наезд на пешехода";"";"0";"0";"г Москва ул Флотская 5, корп,1";"0,0";"1,0";"1,0";"2,0";
"67,0";"11,12,2017";"Текстильщики";"Наезд на пешехода";"";"0";"0";"г Москва б-р Волжский 5 к, 1";"0,0";"1,0";"1,0";"2,0";
"68,0";"11,12,2017";"Измайлово";"Наезд на пешехода";"";"0";"0";"г Москва ш Измайловское 28";"0,0";"1,0";"1,0";"2,0";
"69,0";"11,12,2017";"Южнопортовый";"Наезд на пешехода";"";"0";"0";"г Москва ул Южнопортовая 3 стр, 2";"0,0";"1,0";"1,0";"2,0";
"70,0";"11,12,2017";"Преображенское";"Наезд на стоящее ТС";"";"0";"0";"г Москва ул Электрозаводская 21с65";"0,0";"1,0";"2,0";"2,0";
"71,0";"11,12,2017";"Вешняки";"Наезд на пешехода";"";"0";"0";"г Москва ул Вешняковская 28 21";"0,0";"1,0";"1,0";"2,0";
"72,0";"11,12,2017";"Преображенское";"Наезд на пешехода";"";"0";"0";"г Москва ул Электрозаводская 21";"0,0";"1,0";"1,0";"2,0";
"73,0";"11,12,2017";"Новогиреево";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Свободный 21";"0,0";"1,0";"1,0";"2,0";
"74,0";"11,12,2017";"Нагорный";"Наезд на пешехода";"";"0";"0";"г Москва ш Варшавское 100";"0,0";"1,0";"1,0";"2,0";
"75,0";"11,12,2017";"Бирюлево Восточное";"Наезд на пешехода";"";"0";"0";"г Москва ул Касимовская 4";"0,0";"1,0";"1,0";"2,0";
"76,0";"11,12,2017";"Соколиная гора";"Столкновение";"";"0";"0";"г Москва пр-кт Будённого 49";"0,0";"1,0";"2,0";"2,0";
"77,0";"11,12,2017";"Марьина роща";"Наезд на лицо, не являющееся участником дорожного движения, осуществляющее несение службы";"";"0";"0";"г Москва ул Шереметьевская 34";"0,0";"1,0";"1,0";"2,0";
"78,0";"11,12,2017";"Митино";"Столкновение";"";"0";"0";"г Москва ш Пятницкое 16";"0,0";"2,0";"2,0";"3,0";
"79,0";"11,12,2017";"Раменки";"Столкновение";"Третье транспортное кольцо (внешняя сторона)";"16";"0";"г Москва ш Воробьёвское 2б";"0,0";"4,0";"2,0";"4,0";
"80,0";"11,12,2017";"Тверской";"Столкновение";"";"0";"0";"г Москва ул Тверская 16";"0,0";"1,0";"2,0";"3,0";
"81,0";"11,12,2017";"Выхино-Жулебино";"Наезд на пешехода";"";"0";"0";"г Москва ул Ферганская 13 к,1";"0,0";"1,0";"1,0";"2,0";
"82,0";"11,12,2017";"Зюзино";"Столкновение";"";"0";"0";"г Москва ул Азовская 13";"0,0";"1,0";"2,0";"2,0";
"83,0";"11,12,2017";"Южнопортовый";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Волгоградский 110 к2";"0,0";"1,0";"1,0";"2,0";
"84,0";"11,12,2017";"Хорошевский";"Столкновение";"";"0";"0";"г Москва пр-кт Ленинградский 37Б";"0,0";"1,0";"2,0";"2,0";
"85,0";"11,12,2017";"Лосиноостровский";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"92";"700";"г Москва  ";"0,0";"1,0";"4,0";"4,0";
"86,0";"11,12,2017";"Савёлки";"Столкновение";"";"0";"0";"г Зеленоград ш Фирсановское 15c1";"0,0";"1,0";"2,0";"2,0";
"87,0";"11,12,2017";"Чертаново Северное";"Наезд на препятствие";"";"0";"0";"г Москва ш Варшавское 95";"0,0";"1,0";"1,0";"1,0";
"88,0";"10,12,2017";"Мещанский";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Мира 88";"0,0";"1,0";"1,0";"2,0";
"89,0";"10,12,2017";"Коптево";"Наезд на пешехода";"";"0";"0";"г Москва проезд Новомихалковский 4-й 3";"0,0";"1,0";"1,0";"2,0";
"90,0";"10,12,2017";"Измайлово";"Наезд на препятствие";"";"0";"0";"г Москва ш Измайловское 73бс1";"0,0";"1,0";"1,0";"2,0";
"91,0";"10,12,2017";"Люблино";"Столкновение";"";"0";"0";"г Москва ул Люблинская 17, кор, 1";"0,0";"2,0";"2,0";"3,0";
"92,0";"10,12,2017";"Сосенское";"Столкновение";"";"0";"0";"  ";"0,0";"1,0";"2,0";"2,0";
"93,0";"10,12,2017";"Выхино-Жулебино";"Наезд на стоящее ТС";"";"0";"0";"г Москва пр-кт Лермонтовский 16";"0,0";"1,0";"3,0";"1,0";
"94,0";"10,12,2017";"Гольяново";"Столкновение";"";"0";"0";"г Москва ш Щёлковское 29";"0,0";"2,0";"2,0";"3,0";
"95,0";"10,12,2017";"Лефортово";"Столкновение";"Третье транспортное кольцо (внешняя сторона)";"36";"0";"г Москва ш Энтузиастов 5";"0,0";"1,0";"2,0";"2,0";
"96,0";"10,12,2017";"Марьино";"Наезд на пешехода";"";"0";"0";"г Москва ул Новомарьинская 12 12, кор, 1";"0,0";"1,0";"1,0";"2,0";
"97,0";"10,12,2017";"Киевский";"Столкновение";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"60";"0";"  ";"0,0";"1,0";"2,0";"3,0";
"98,0";"10,12,2017";"Кузьминки";"Столкновение";"";"0";"0";"г Москва пр-кт Волгоградский 156";"0,0";"1,0";"2,0";"3,0";
"99,0";"10,12,2017";"Раменки";"Столкновение";"";"0";"0";"г Москва пр-кт Мичуринский 8";"0,0";"2,0";"3,0";"4,0";
"100,0";"10,12,2017";"Котловка";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Севастопольский 15, корп 1";"0,0";"1,0";"1,0";"2,0";
"101,0";"10,12,2017";"Перово";"Столкновение";"";"0";"0";"г Москва ш Энтузиастов 44";"0,0";"1,0";"2,0";"3,0";
"102,0";"10,12,2017";"Ивановское";"Столкновение";"";"0";"0";"г Москва ул Молостовых 11";"0,0";"1,0";"2,0";"2,0";
"103,0";"10,12,2017";"Внуковское";"Столкновение";"";"0";"0";"  ";"0,0";"1,0";"2,0";"3,0";
"104,0";"10,12,2017";"Новокосино";"Столкновение";"";"0";"0";"г Москва ул Суздальская 12к1";"0,0";"1,0";"2,0";"2,0";
"105,0";"10,12,2017";"Южное Бутово";"Наезд на пешехода";"";"0";"0";"г Москва ул Южнобутовская 12";"0,0";"1,0";"1,0";"2,0";
"106,0";"10,12,2017";"Проспект Вернадского";"Наезд на пешехода";"";"0";"0";"г Москва ул Лобачевского 6";"0,0";"1,0";"1,0";"2,0";
"107,0";"10,12,2017";"Бибирево";"Наезд на пешехода";"";"0";"0";"г Москва ул Белозерская 17б";"0,0";"1,0";"1,0";"2,0";
"108,0";"10,12,2017";"Чертаново Южное";"Столкновение";"";"0";"0";"г Москва ш Варшавское 152";"0,0";"1,0";"2,0";"2,0";
"109,0";"10,12,2017";"Раменки";"Столкновение";"";"0";"0";"г Москва пр-кт Мичуринский 31-1";"0,0";"1,0";"2,0";"3,0";
"110,0";"09,12,2017";"Царицыно";"Столкновение";"";"0";"0";"г Москва б-р Кавказский 34 К1";"0,0";"1,0";"2,0";"2,0";
"111,0";"09,12,2017";"Сокол";"Наезд на стоящее ТС";"М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)";"1";"0";"г Москва пр-кт Ленинградский 69";"0,0";"2,0";"2,0";"3,0";
"112,0";"09,12,2017";"Марьина роща";"Наезд на пешехода";"";"0";"0";"г Москва ул Складочная 1";"0,0";"1,0";"1,0";"2,0";
"113,0";"09,12,2017";"Ярославский";"Наезд на пешехода";"";"0";"0";"г Москва ш Ярославское 19";"0,0";"1,0";"1,0";"2,0";
"114,0";"09,12,2017";"Царицыно";"Наезд на пешехода";"";"0";"0";"г Москва ул Севанская 23А";"1,0";"0,0";"1,0";"2,0";
"115,0";"09,12,2017";"Нагатино-Садовники";"Столкновение";"";"0";"0";"г Москва пр-кт Андропова 22 30А";"0,0";"1,0";"3,0";"3,0";
"116,0";"09,12,2017";"Лосиноостровский";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"92";"800";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"117,0";"09,12,2017";"Внуковское";"Столкновение";"";"0";"0";"  ";"3,0";"2,0";"3,0";"5,0";
"118,0";"09,12,2017";"Хорошевский";"Столкновение";"";"0";"0";"г Москва б-р Ходынский 4";"0,0";"1,0";"2,0";"2,0";
"119,0";"09,12,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Столкновение";"А-106 Рублево-Успенское шоссе";"16";"0";"г Москва  ";"0,0";"2,0";"2,0";"2,0";
"120,0";"09,12,2017";"Южное Бутово";"Столкновение";"";"0";"0";"г Москва проезд Чечёрский 23";"0,0";"1,0";"2,0";"3,0";
"121,0";"09,12,2017";"Солнцево";"Столкновение";"";"0";"0";"г Москва ул Производственная 11Б";"0,0";"2,0";"2,0";"2,0";
"122,0";"09,12,2017";"Щукино";"Падение пассажира";"";"0";"0";"г Москва ул Гамалеи 1";"0,0";"1,0";"1,0";"2,0";
"123,0";"09,12,2017";"Савеловский";"Падение пассажира";"";"0";"0";"г Москва ул Квесисская 2-я 26";"0,0";"1,0";"1,0";"2,0";
"124,0";"09,12,2017";"Сокол";"Падение пассажира";"М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)";"1";"0";"г Москва пр-кт Ленинградский 71";"0,0";"1,0";"1,0";"2,0";
"125,0";"09,12,2017";"Ярославский";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"95";"0";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"126,0";"08,12,2017";"Головинский";"Наезд на пешехода";"";"0";"0";"г Москва ш Ленинградское 94";"1,0";"0,0";"1,0";"2,0";
"127,0";"08,12,2017";"Отрадное";"Наезд на пешехода";"";"0";"0";"г Москва ул Декабристов 2";"0,0";"1,0";"1,0";"2,0";
"128,0";"08,12,2017";"Отрадное";"Наезд на пешехода";"";"0";"0";"г Москва ш Алтуфьевское 56";"0,0";"1,0";"1,0";"2,0";
"129,0";"08,12,2017";"Солнцево";"Наезд на пешехода";"";"0";"0";"г Москва ул Щорса 10";"0,0";"1,0";"1,0";"2,0";
"130,0";"08,12,2017";"Хорошево-Мневники";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Маршала Жукова 19";"0,0";"1,0";"1,0";"2,0";
"131,0";"08,12,2017";"Строгино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"67";"0";"г Москва  ";"0,0";"1,0";"2,0";"3,0";
"132,0";"08,12,2017";"Бирюлево Западное";"Наезд на пешехода";"";"0";"0";"г Москва ул Подольских Курсантов 10";"0,0";"1,0";"1,0";"2,0";
"133,0";"08,12,2017";"Бескудниковский";"Наезд на пешехода";"";"0";"0";"г Москва ул 800-летия Москвы 7";"0,0";"1,0";"1,0";"2,0";
"134,0";"08,12,2017";"Хорошевский";"Столкновение";"";"0";"0";"г Москва ул Зорге 22к1";"0,0";"1,0";"2,0";"3,0";
"135,0";"08,12,2017";"Новокосино";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"4";"0";"г Москва км МКАД 4-й ";"0,0";"1,0";"3,0";"3,0";
"136,0";"08,12,2017";"Ярославский";"Наезд на стоящее ТС";"";"0";"0";"г Москва ш Ярославское 136";"0,0";"1,0";"2,0";"3,0";
"137,0";"08,12,2017";"Черемушки";"Наезд на пешехода";"";"0";"0";"г Москва ул Херсонская Каховка";"0,0";"1,0";"1,0";"2,0";
"138,0";"08,12,2017";"Сокол";"Наезд на пешехода";"";"0";"0";"г Москва ш Волоколамское 1А";"0,0";"1,0";"1,0";"2,0";
"139,0";"08,12,2017";"Северное Бутово";"Столкновение";"";"0";"0";"п Бутово ул Поляны 4";"0,0";"2,0";"2,0";"3,0";
"140,0";"08,12,2017";"Хорошевский";"Наезд на пешехода";"";"0";"0";"г Москва ул Полины Осипенко 18к1";"0,0";"1,0";"1,0";"2,0";
"141,0";"08,12,2017";"Измайлово";"Столкновение";"";"0";"0";"г Москва аллея Главная 11";"0,0";"1,0";"3,0";"3,0";
"142,0";"08,12,2017";"Хорошево-Мневники";"Столкновение";"";"0";"0";"г Москва ул Мнёвники Нижн, 45";"0,0";"1,0";"2,0";"2,0";
"143,0";"08,12,2017";"Ярославский";"Наезд на пешехода";"";"0";"0";"г Москва ш Ярославское 13 корп,1";"0,0";"1,0";"1,0";"2,0";
"144,0";"08,12,2017";"Измайлово";"Столкновение";"";"0";"0";"г Москва б-р Измайловский 46";"0,0";"1,0";"2,0";"2,0";
"145,0";"08,12,2017";"Марьина роща";"Столкновение";"";"0";"0";"г Москва ул Шереметьевская 6к,1";"0,0";"1,0";"2,0";"2,0";
"146,0";"08,12,2017";"Ивановское";"Наезд на пешехода";"";"0";"0";"г Москва ул Молостовых 9к1";"0,0";"1,0";"1,0";"2,0";
"147,0";"08,12,2017";"Щаповское поселение";"Столкновение";"";"0";"0";"д Шаганино  ";"0,0";"15,0";"2,0";"16,0";
"148,0";"08,12,2017";"Савеловский";"Наезд на пешехода";"";"0";"0";"г Москва ул Вятская 41г стр1";"0,0";"1,0";"1,0";"2,0";
"149,0";"08,12,2017";"Алексеевский";"Наезд на пешехода";"";"0";"0";"г Москва ул Ярославская 14";"0,0";"1,0";"1,0";"2,0";
"150,0";"08,12,2017";"Ново-Переделкино";"Наезд на пешехода";"";"0";"0";"г Москва ул Новопеределкинская 11а";"0,0";"1,0";"1,0";"2,0";
"151,0";"08,12,2017";"Головинский";"Наезд на пешехода";"";"0";"0";"г Москва ул Авангардная 18";"0,0";"1,0";"1,0";"3,0";
"152,0";"08,12,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва пл Красная 3";"0,0";"1,0";"1,0";"2,0";
"153,0";"07,12,2017";"Ломоносовский";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Нахимовский 46";"0,0";"1,0";"1,0";"2,0";
"154,0";"07,12,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 29 кор 1";"0,0";"1,0";"2,0";"2,0";
"155,0";"07,12,2017";"Сосенское";"Наезд на препятствие";"";"0";"0";"  ";"0,0";"2,0";"1,0";"2,0";
"156,0";"07,12,2017";"Измайлово";"Наезд на пешехода";"";"0";"0";"г Москва ул Первомайская 25 26";"0,0";"1,0";"1,0";"2,0";
"157,0";"07,12,2017";"Метрогородок";"Наезд на пешехода";"";"0";"0";"г Москва ш Открытое 15";"0,0";"1,0";"1,0";"2,0";
"158,0";"07,12,2017";"Строгино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"69";"150";"г Москва  ";"0,0";"1,0";"2,0";"3,0";
"159,0";"07,12,2017";"Царицыно";"Наезд на пешехода";"";"0";"0";"г Москва ул Кантемировская 39";"0,0";"1,0";"1,0";"2,0";
"160,0";"07,12,2017";"Покровское-Стрешнево";"Столкновение";"";"0";"0";"г Москва ш Волоколамское 80";"0,0";"1,0";"2,0";"3,0";
"161,0";"07,12,2017";"Михайлово-Ярцевское поселение";"Наезд на пешехода";"";"0";"0";"п Шишкин Лес  17";"0,0";"1,0";"1,0";"2,0";
"162,0";"06,12,2017";"Лосиноостровский";"Столкновение";"";"0";"0";"г Москва ул Изумрудная 36";"0,0";"1,0";"2,0";"2,0";
"163,0";"06,12,2017";"Бутырский";"Наезд на пешехода";"";"0";"0";"г Москва ул Яблочкова 15";"0,0";"1,0";"1,0";"2,0";
"164,0";"06,12,2017";"Донской";"Наезд на пешехода";"";"0";"0";"г Москва ш Варшавское 18 К1";"0,0";"1,0";"1,0";"2,0";
"165,0";"06,12,2017";"Сокол";"Наезд на пешехода";"";"0";"0";"г Москва ул Новопесчаная 5";"0,0";"1,0";"1,0";"2,0";
"166,0";"06,12,2017";"Нагатино-Садовники";"Столкновение";"";"0";"0";"г Москва проезд Коломенский 14";"0,0";"1,0";"4,0";"3,0";
"167,0";"06,12,2017";"Беговой";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Ленинградский 31астр1";"0,0";"1,0";"1,0";"2,0";
"168,0";"06,12,2017";"Тимирязевский";"Наезд на пешехода";"";"0";"0";"г Москва ул Костякова 12";"0,0";"1,0";"1,0";"2,0";
"169,0";"06,12,2017";"Даниловский";"Наезд на пешехода";"";"0";"0";"г Москва ул Дербеневская 12";"0,0";"1,0";"1,0";"2,0";
"170,0";"06,12,2017";"Лианозово";"Наезд на пешехода";"";"0";"0";"г Москва ул Череповецкая 13";"0,0";"1,0";"1,0";"2,0";
"171,0";"06,12,2017";"Новокосино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"5";"300";"г Москва  ";"0,0";"1,0";"2,0";"3,0";
"172,0";"06,12,2017";"Даниловский";"Наезд на пешехода";"";"0";"0";"г Москва ул Восточная 10";"0,0";"1,0";"1,0";"2,0";
