"Российская Федерация, г, Москва ДТП - всего (29,11,2017-13,12,2017)";"";"";"";"";"";"";"";"";"";"";"";
"№ п/п";"Дата ДТП";"Район";"Вид ДТП";"Дорога";"КМ";"М";"Адрес";"Погибло";"Ранено";"Кол-во ТС";"Кол-во участников";
"1,0";"13,12,2017";"Лианозово";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"82";"700";"г Москва  ";"0,0";"1,0";"3,0";"4,0";
"2,0";"13,12,2017";"Южнопортовый";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Волгоградский 32 стр,11";"0,0";"1,0";"1,0";"2,0";
"3,0";"13,12,2017";"Зябликово";"Столкновение";"";"0";"0";"г Москва ул Мусы Джалиля 5";"0,0";"1,0";"2,0";"3,0";
"4,0";"13,12,2017";"Орехово-Борисово Южное";"Наезд на пешехода";"";"0";"0";"г Москва ул Воронежская 16";"0,0";"1,0";"1,0";"2,0";
"5,0";"13,12,2017";"Нагатино-Садовники";"Наезд на пешехода";"";"0";"0";"г Москва ул Нагатинская 28";"0,0";"1,0";"1,0";"2,0";
"6,0";"13,12,2017";"Коньково";"Наезд на пешехода";"";"0";"0";"г Москва ул Профсоюзная 126";"0,0";"1,0";"1,0";"2,0";
"7,0";"13,12,2017";"Молжаниновский";"Наезд на пешехода";"";"0";"0";"г Москва ш Новосходненское 48";"0,0";"1,0";"1,0";"2,0";
"8,0";"13,12,2017";"Орехово-Борисово Северное";"Наезд на пешехода";"";"0";"0";"г Москва ул Маршала Захарова 16 К2";"0,0";"1,0";"1,0";"2,0";
"9,0";"13,12,2017";"Строгино";"Наезд на пешехода";"";"0";"0";"г Москва б-р Строгинский 23";"0,0";"1,0";"1,0";"2,0";
"10,0";"13,12,2017";"Перово";"Наезд на пешехода";"";"0";"0";"г Москва ул Плеханова 31";"0,0";"1,0";"1,0";"2,0";
"11,0";"13,12,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Наезд на пешехода";"А-109 Ильинское шоссе";"11";"0";"г Москва  ";"0,0";"1,0";"1,0";"2,0";
"12,0";"13,12,2017";"Раменки";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Мичуринский 7";"0,0";"1,0";"1,0";"2,0";
"13,0";"13,12,2017";"Матушкино";"Наезд на пешехода";"";"0";"0";"г Зеленоград проезд Западный 1-й 11 стр,1";"0,0";"1,0";"1,0";"2,0";
"14,0";"13,12,2017";"Дмитровский";"Падение пассажира";"";"0";"0";"г Москва ш Коровинское 33";"0,0";"1,0";"1,0";"2,0";
"15,0";"13,12,2017";"Выхино-Жулебино";"Наезд на пешехода";"";"0";"0";"г Москва б-р Хвалынский 4, к, 1";"0,0";"1,0";"1,0";"2,0";
"16,0";"13,12,2017";"Вороновское поселение";"Наезд на пешехода";"";"0";"0";"д Бабенки  ";"1,0";"0,0";"1,0";"2,0";
