"Российская Федерация, г, Москва ДТП - всего (01,09,2017-14,09,2017)";"";"";"";"";"";"";"";"";"";"";"";
"13,0";"14,09,2017";"Северный";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 184";"0,0";"7,0";"4,0";"11,0";
"14,0";"14,09,2017";"Марьина роща";"Столкновение";"";"0";"0";"г Москва ул Шереметьевская 47";"0,0";"2,0";"2,0";"4,0";
"15,0";"14,09,2017";"Внуково";"Столкновение";"";"0";"0";"п Внуково ул Рейсовая 2-я 2г";"0,0";"4,0";"3,0";"6,0";
"16,0";"14,09,2017";"Ивановское";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"1";"200";"г Москва  ";"0,0";"3,0";"3,0";"5,0";
"17,0";"14,09,2017";"Ясенево";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Новоясеневский 32 корп, 1";"0,0";"1,0";"1,0";"2,0";
"18,0";"14,09,2017";"Лианозово";"Столкновение";"";"0";"0";"г Москва проезд Лианозовский в1";"0,0";"1,0";"2,0";"2,0";
"19,0";"14,09,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва ул Костякова 3 стр 1";"0,0";"1,0";"2,0";"2,0";
"20,0";"14,09,2017";"Бутырский";"Наезд на велосипедиста";"";"0";"0";"г Москва ул Бутырская 6";"0,0";"1,0";"2,0";"2,0";
"21,0";"14,09,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Наезд на пешехода";"А-109 Ильинское шоссе";"1";"0";"г Москва  ";"0,0";"1,0";"1,0";"2,0";
"22,0";"14,09,2017";"Бибирево";"Столкновение";"";"0";"0";"г Москва ул Корнейчука 42";"0,0";"1,0";"2,0";"2,0";
"23,0";"14,09,2017";"Марьина роща";"Столкновение";"";"0";"0";"г Москва пл Рижская 3 к1";"0,0";"1,0";"2,0";"2,0";
"24,0";"14,09,2017";"Академический";"Столкновение";"";"0";"0";"г Москва ул Профсоюзная 130к1";"0,0";"2,0";"2,0";"3,0";
"25,0";"14,09,2017";"Мещанский";"Столкновение";"";"0";"0";"г Москва ул Садовая-Спасская 24";"0,0";"1,0";"2,0";"2,0";
"26,0";"14,09,2017";"Ясенево";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"38";"0";"г Москва км МКАД 38-й ";"0,0";"1,0";"3,0";"3,0";
"27,0";"14,09,2017";"Вороновское поселение";"Столкновение";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"55";"800";"  ";"0,0";"3,0";"3,0";"5,0";
"28,0";"14,09,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва проезд Дмитровский 1Б";"0,0";"1,0";"2,0";"3,0";
"29,0";"14,09,2017";"Раменки";"Столкновение";"";"0";"0";"г Москва пр-кт Ломоносовский 34";"0,0";"1,0";"2,0";"2,0";
"30,0";"14,09,2017";"Бирюлево Западное";"Наезд на пешехода";"";"0";"0";"г Москва ул Медынская 1 К1";"0,0";"1,0";"1,0";"2,0";
"31,0";"13,09,2017";"Куркино";"Наезд на препятствие";"";"0";"0";"г Москва ул Захарьинская 4";"0,0";"1,0";"1,0";"1,0";
"32,0";"13,09,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Столкновение";"А-109 Ильинское шоссе";"4";"0";"г Москва  ";"0,0";"2,0";"2,0";"3,0";
"33,0";"13,09,2017";"Московский";"Столкновение";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"19";"700";"  ";"0,0";"2,0";"2,0";"3,0";
"34,0";"13,09,2017";"Старое Крюково";"Наезд на велосипедиста";"";"0";"0";"г Зеленоград ул Железнодорожная 845";"0,0";"1,0";"2,0";"2,0";
"35,0";"13,09,2017";"Южное Бутово";"Столкновение";"";"0";"0";"г Москва ул Бартеневская 39";"0,0";"1,0";"3,0";"3,0";
"36,0";"13,09,2017";"Текстильщики";"Столкновение";"";"0";"0";"г Москва проезд Грайвороновский 2-й 6, стр, 1";"0,0";"1,0";"2,0";"2,0";
"37,0";"13,09,2017";"Даниловский";"Наезд на стоящее ТС";"";"0";"0";"г Москва проезд Кожуховский 1-й 9";"0,0";"1,0";"3,0";"3,0";
"38,0";"13,09,2017";"Ясенево";"Падение пассажира";"";"0";"0";"г Москва пр-кт Новоясеневский 22";"0,0";"1,0";"1,0";"2,0";
"39,0";"13,09,2017";"Хорошево-Мневники";"Столкновение";"";"0";"0";"г Москва ул Мнёвники 11";"0,0";"1,0";"2,0";"3,0";
"40,0";"13,09,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Столкновение";"А-106 Рублево-Успенское шоссе";"1";"0";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"41,0";"13,09,2017";"Северное Тушино";"Наезд на пешехода";"";"0";"0";"г Москва ул Туристская 31";"0,0";"2,0";"2,0";"3,0";
"42,0";"13,09,2017";"Митино";"Столкновение";"";"0";"0";"г Москва ш Волоколамское 139";"0,0";"1,0";"2,0";"2,0";
"43,0";"13,09,2017";"Сокольники";"Столкновение";"";"0";"0";"г Москва пл Сокольническая 4";"0,0";"1,0";"2,0";"3,0";
"44,0";"13,09,2017";"Можайский";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"52";"320";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"45,0";"13,09,2017";"Сокольники";"Наезд на пешехода";"";"0";"0";"г Москва ул Егерская 4";"0,0";"1,0";"1,0";"2,0";
"46,0";"13,09,2017";"Северное Измайлово";"Наезд на пешехода";"";"0";"0";"г Москва б-р Сиреневый 53";"0,0";"1,0";"1,0";"2,0";
"47,0";"13,09,2017";"Нагатино-Садовники";"Столкновение";"";"0";"0";"г Москва наб Нагатинская 10 К3";"0,0";"1,0";"2,0";"3,0";
"48,0";"13,09,2017";"Вешняки";"Столкновение";"";"0";"0";"г Москва ул Молдагуловой 15";"0,0";"1,0";"2,0";"2,0";
"49,0";"13,09,2017";"Восточное Измайлово";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"106";"700";"г Москва  ";"0,0";"2,0";"3,0";"5,0";
"50,0";"13,09,2017";"Перово";"Столкновение";"";"0";"0";"г Москва ул Перовская 30";"0,0";"1,0";"2,0";"3,0";
"51,0";"13,09,2017";"Нагатино-Садовники";"Столкновение";"";"0";"0";"г Москва ш Варшавское 32";"0,0";"1,0";"2,0";"3,0";
"52,0";"13,09,2017";"Алексеевский";"Столкновение";"";"0";"0";"г Москва пр-кт Мира 126";"0,0";"1,0";"2,0";"2,0";
"53,0";"13,09,2017";"Строгино";"Столкновение";"";"0";"0";"г Москва ул Маршала Прошлякова 63, корп,2";"0,0";"1,0";"2,0";"2,0";
"54,0";"13,09,2017";"Тимирязевский";"Опрокидывание";"";"0";"0";"г Москва ш Дмитровское 47";"0,0";"2,0";"1,0";"3,0";
"55,0";"13,09,2017";"Москворечье-Сабурово";"Столкновение";"";"0";"0";"г Москва ш Каширское 76 К1";"0,0";"1,0";"2,0";"2,0";
"56,0";"13,09,2017";"Западное Дегунино";"Опрокидывание";"";"0";"0";"г Москва ш Коровинское 17";"0,0";"1,0";"1,0";"1,0";
"57,0";"13,09,2017";"Митино";"Столкновение";"";"0";"0";"г Москва ш Пятницкое 19";"0,0";"1,0";"3,0";"3,0";
"58,0";"13,09,2017";"Марьино";"Наезд на пешехода";"";"0";"0";"г Москва ул Нижние Поля 3 Иловайская";"0,0";"1,0";"1,0";"2,0";
"59,0";"12,09,2017";"Ясенево";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"36";"900";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"60,0";"12,09,2017";"Митино";"Падение пассажира";"";"0";"0";"г Москва ул Митинская 53";"0,0";"1,0";"1,0";"2,0";
"61,0";"12,09,2017";"Косино-Ухтомский";"Опрокидывание";"";"0";"0";"п Ухтомский ул Каскадная 34";"0,0";"1,0";"1,0";"1,0";
"62,0";"12,09,2017";"Куркино";"Столкновение";"";"0";"0";"г Москва ш Новокуркинское 1";"0,0";"2,0";"3,0";"4,0";
"63,0";"12,09,2017";"Замоскворечье";"Наезд на пешехода";"";"0";"0";"г Москва наб Космодамианская 4 22 корпус Б";"0,0";"2,0";"1,0";"3,0";
"64,0";"12,09,2017";"Хамовники";"Столкновение";"";"0";"0";"г Москва пр-кт Комсомольский 22";"0,0";"1,0";"4,0";"4,0";
"65,0";"12,09,2017";"Соколиная гора";"Столкновение";"";"0";"0";"г Москва ул Гастелло 37";"0,0";"1,0";"2,0";"3,0";
"66,0";"12,09,2017";"Силино";"Наезд на пешехода";"";"0";"0";"г Зеленоград пр-кт Панфиловский 5";"0,0";"1,0";"1,0";"2,0";
"67,0";"12,09,2017";"Северное Бутово";"Наезд на пешехода";"";"0";"0";"п Бутово ул Поляны вл, 4 по Куликовской";"1,0";"0,0";"1,0";"2,0";
"68,0";"12,09,2017";"Ивановское";"Падение пассажира";"";"0";"0";"г Москва ул Саянская 5";"0,0";"1,0";"1,0";"2,0";
"69,0";"12,09,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Столкновение";"А-106 Рублево-Успенское шоссе";"20";"0";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"70,0";"12,09,2017";"Западное Дегунино";"Наезд на велосипедиста";"";"0";"0";"г Москва ул Базовская 20А стр, 2";"0,0";"1,0";"2,0";"2,0";
"71,0";"12,09,2017";"Марушкинское";"Столкновение";"";"0";"0";"д Марушкино  48а";"0,0";"1,0";"2,0";"2,0";
"72,0";"12,09,2017";"Братеево";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"20";"700";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"73,0";"12,09,2017";"Марфино";"Столкновение";"";"0";"0";"г Москва ул Ботаническая 1";"0,0";"2,0";"2,0";"4,0";
"74,0";"12,09,2017";"Лианозово";"Столкновение";"";"0";"0";"г Москва ш Алтуфьевское 93А";"0,0";"1,0";"2,0";"3,0";
"75,0";"12,09,2017";"Тропарево-Никулино";"Столкновение";"";"0";"0";"г Москва пр-кт Вернадского 127";"0,0";"1,0";"2,0";"2,0";
"76,0";"12,09,2017";"Черемушки";"Столкновение";"";"0";"0";"г Москва ул Профсоюзная 57";"0,0";"1,0";"3,0";"3,0";
"77,0";"12,09,2017";"Гольяново";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"100";"900";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"78,0";"12,09,2017";"Молжаниновский";"Столкновение";"";"0";"0";"г Москва ш Новосходненское 152";"0,0";"1,0";"2,0";"2,0";
"79,0";"12,09,2017";"Гольяново";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"101";"800";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"80,0";"12,09,2017";"Хамовники";"Наезд на пешехода";"";"0";"0";"г Москва проезд Соймоновский 5";"0,0";"1,0";"1,0";"2,0";
"81,0";"12,09,2017";"Пресненский";"Наезд на пешехода";"";"0";"0";"г Москва туп Шведский 3";"0,0";"1,0";"1,0";"2,0";
"82,0";"12,09,2017";"Фили-Давыдково";"Наезд на велосипедиста";"";"0";"0";"г Москва ул Минская ВЛАДЕНИЕ 2";"0,0";"1,0";"2,0";"2,0";
"83,0";"12,09,2017";"Северное Медведково";"Наезд на велосипедиста";"";"0";"0";"г Москва ул Широкая 2";"0,0";"1,0";"2,0";"2,0";
"84,0";"12,09,2017";"Нагатинский затон";"Наезд на пешехода";"";"0";"0";"г Москва ул Речников 28";"0,0";"1,0";"1,0";"2,0";
"85,0";"12,09,2017";"Алексеевский";"Наезд на препятствие";"";"0";"0";"г Москва ул Новоалексеевская 22";"0,0";"1,0";"1,0";"2,0";
"86,0";"11,09,2017";"Мещанский";"Столкновение";"";"0";"0";"г Москва пр-кт Олимпийский 24";"0,0";"4,0";"2,0";"5,0";
"87,0";"11,09,2017";"Москворечье-Сабурово";"Столкновение";"";"0";"0";"г Москва ш Каширское 62";"0,0";"1,0";"2,0";"2,0";
"88,0";"11,09,2017";"Марьина роща";"Наезд на пешехода";"";"0";"0";"г Москва ул Октябрьская 33";"1,0";"0,0";"1,0";"2,0";
"89,0";"11,09,2017";"Кунцево";"Падение пассажира";"";"0";"0";"г Москва ул Черепковская 3-я 15А";"0,0";"1,0";"2,0";"3,0";
"90,0";"11,09,2017";"Южное Медведково";"Столкновение";"";"0";"0";"г Москва проезд Ясный 6";"0,0";"2,0";"2,0";"2,0";
"91,0";"11,09,2017";"Крылатское";"Наезд на пешехода";"";"0";"0";"г Москва ул Осенняя 18А";"0,0";"1,0";"1,0";"2,0";
"92,0";"11,09,2017";"Северное Медведково";"Столкновение";"";"0";"0";"г Москва ул Северодвинская 20";"0,0";"1,0";"2,0";"3,0";
"93,0";"11,09,2017";"Гагаринский";"Столкновение";"";"0";"0";"г Москва пр-кт Вернадского 5";"0,0";"1,0";"2,0";"2,0";
"94,0";"11,09,2017";"Замоскворечье";"Наезд на пешехода";"";"0";"0";"г Москва пер Щипковский 1-й 25";"0,0";"1,0";"1,0";"2,0";
"95,0";"11,09,2017";"Алексеевский";"Наезд на пешехода";"";"0";"0";"г Москва ул Новоалексеевская 14 стр, 1";"0,0";"1,0";"1,0";"2,0";
"96,0";"11,09,2017";"Академический";"Столкновение";"";"0";"0";"г Москва пр-кт 60-летия Октября 23";"0,0";"1,0";"2,0";"2,0";
"97,0";"11,09,2017";"Силино";"Столкновение";"";"0";"0";"г Зеленоград пр-кт Панфиловский 1109";"0,0";"1,0";"2,0";"2,0";
"98,0";"11,09,2017";"Басманный";"Наезд на пешехода";"";"0";"0";"г Москва ул Бауманская 5СТР1";"1,0";"0,0";"1,0";"2,0";
"99,0";"11,09,2017";"Лосиноостровский";"Столкновение";"";"0";"0";"г Москва ул Стартовая 3";"0,0";"2,0";"2,0";"3,0";
"100,0";"11,09,2017";"Проспект Вернадского";"Опрокидывание";"";"0";"0";"г Москва пр-кт Вернадского 78 стр 4";"0,0";"1,0";"2,0";"2,0";
"101,0";"11,09,2017";"Северное Бутово";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"35";"100";"п Бутово  ";"0,0";"1,0";"2,0";"3,0";
"102,0";"11,09,2017";"Теплый Стан";"Столкновение";"";"0";"0";"г Москва ул Тёплый Стан 11 к,2,";"0,0";"1,0";"2,0";"2,0";
"103,0";"11,09,2017";"Головинский";"Наезд на стоящее ТС";"";"0";"0";"г Москва пер Лихачёвский 2-й 3 1";"0,0";"1,0";"2,0";"1,0";
"104,0";"11,09,2017";"Капотня";"Наезд на пешехода";"";"0";"0";"г Москва ул Верхние Поля вл, 56";"0,0";"2,0";"1,0";"3,0";
"105,0";"11,09,2017";"Вороновское поселение";"Наезд на лицо, не являющееся участником дорожного движения, осуществляющее какую-либо другую деятельность";"";"0";"0";"д Богоявление  ";"1,0";"0,0";"1,0";"2,0";
"106,0";"11,09,2017";"Десёновское";"Наезд на пешехода";"";"0";"0";"  ";"0,0";"1,0";"1,0";"2,0";
"107,0";"11,09,2017";"Гагаринский";"Столкновение";"";"0";"0";"г Москва пр-кт Ленинский 60 2";"0,0";"1,0";"2,0";"3,0";
"108,0";"11,09,2017";"Перово";"Столкновение";"";"0";"0";"г Москва ш Энтузиастов 31";"0,0";"1,0";"2,0";"2,0";
"109,0";"11,09,2017";"Десёновское";"Наезд на пешехода";"";"0";"0";"  ";"0,0";"1,0";"1,0";"2,0";
"110,0";"11,09,2017";"Южное Тушино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"69";"150";"г Москва  ";"0,0";"1,0";"3,0";"3,0";
"111,0";"11,09,2017";"Южное Тушино";"Столкновение";"";"0";"0";"г Москва проезд Походный 10";"0,0";"1,0";"2,0";"2,0";
"112,0";"11,09,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва ул Дмитровка М, 31 22,";"0,0";"1,0";"1,0";"2,0";
"113,0";"11,09,2017";"Беговой";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Ленинградский 34";"0,0";"1,0";"1,0";"2,0";
"114,0";"11,09,2017";"Молжаниновский";"Наезд на пешехода";"";"0";"0";"г Москва ш Международное 4 км";"0,0";"1,0";"2,0";"3,0";
"115,0";"11,09,2017";"Чертаново Северное";"Наезд на пешехода";"";"0";"0";"г Москва проезд Сумской 9";"0,0";"1,0";"1,0";"2,0";
"116,0";"11,09,2017";"Чертаново Южное";"Столкновение";"";"0";"0";"г Москва ш Варшавское 152А";"0,0";"3,0";"2,0";"5,0";
"117,0";"11,09,2017";"Бирюлево Восточное";"Столкновение";"";"0";"0";"г Москва ул Липецкая 2 К13";"0,0";"2,0";"2,0";"4,0";
"118,0";"11,09,2017";"Нагорный";"Столкновение";"";"0";"0";"г Москва б-р Симферопольский 37 К2";"0,0";"1,0";"2,0";"2,0";
"119,0";"11,09,2017";"Донской";"Столкновение";"";"0";"0";"г Москва ш Загородное 2б";"0,0";"1,0";"2,0";"2,0";
"120,0";"11,09,2017";"Выхино-Жулебино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"10";"0";"г Москва км МКАД 10-й ";"0,0";"1,0";"4,0";"4,0";
"121,0";"11,09,2017";"Войковский";"Столкновение";"М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)";"2";"0";"г Москва ш Ленинградское 13";"0,0";"1,0";"3,0";"3,0";
"122,0";"11,09,2017";"Нагатино-Садовники";"Наезд на препятствие";"";"0";"0";"г Москва ул Москворечье 1";"0,0";"1,0";"1,0";"1,0";
"123,0";"11,09,2017";"Бескудниковский";"Наезд на пешехода";"";"0";"0";"г Москва б-р Бескудниковский д,10, корп,3";"0,0";"1,0";"2,0";"3,0";
"124,0";"10,09,2017";"Даниловский";"Наезд на препятствие";"";"0";"0";"г Москва ул Тульская Б, 10 СТР9";"0,0";"1,0";"1,0";"1,0";
"125,0";"10,09,2017";"Тверской";"Наезд на стоящее ТС";"М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)";"697";"0";"г Москва ул Тверская 27";"0,0";"1,0";"2,0";"2,0";
"126,0";"10,09,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 7 кор, 1";"0,0";"2,0";"2,0";"4,0";
"127,0";"10,09,2017";"Ярославский";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"95";"0";"г Москва  ";"0,0";"1,0";"2,0";"3,0";
"128,0";"10,09,2017";"Лефортово";"Наезд на пешехода";"";"0";"0";"г Москва ул Самокатная 2А";"1,0";"0,0";"1,0";"2,0";
"129,0";"10,09,2017";"Московский";"Наезд на препятствие";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"23";"340";"  ";"0,0";"2,0";"1,0";"2,0";
"130,0";"10,09,2017";"Донской";"Столкновение";"";"0";"0";"г Москва ул Тульская Б, 44";"0,0";"1,0";"2,0";"2,0";
"131,0";"10,09,2017";"Новогиреево";"Опрокидывание";"";"0";"0";"г Москва ул Кусковская 12с32";"0,0";"1,0";"1,0";"1,0";
"132,0";"10,09,2017";"Марфино";"Столкновение";"";"0";"0";"г Москва ул Гостиничная 9";"0,0";"3,0";"2,0";"3,0";
"133,0";"10,09,2017";"Новокосино";"Столкновение";"";"0";"0";"г Москва ул Новокосинская 12к3";"0,0";"1,0";"2,0";"2,0";
"134,0";"10,09,2017";"Московский";"Столкновение";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"23";"900";"  ";"0,0";"1,0";"2,0";"2,0";
"135,0";"10,09,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Опрокидывание";"А-106 Рублево-Успенское шоссе";"21";"0";"г Москва  ";"0,0";"1,0";"1,0";"1,0";
"136,0";"10,09,2017";"Левобережный";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"74";"800";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"137,0";"10,09,2017";"Чертаново Центральное";"Столкновение";"";"0";"0";"г Москва ул Днепропетровская 1";"0,0";"1,0";"2,0";"2,0";
"138,0";"10,09,2017";"Орехово-Борисово Северное";"Столкновение";"";"0";"0";"г Москва ул Генерала Белова 17";"0,0";"1,0";"2,0";"2,0";
"139,0";"10,09,2017";"Внуковское";"Столкновение";"";"0";"0";"  ";"0,0";"1,0";"2,0";"2,0";
"140,0";"09,09,2017";"Кузьминки";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Волгоградский 113 корп, 1";"1,0";"0,0";"1,0";"2,0";
"141,0";"09,09,2017";"Московский";"Столкновение";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"23";"0";"  ";"0,0";"1,0";"2,0";"2,0";
"142,0";"09,09,2017";"Восточное Измайлово";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"105";"300";"г Москва  ";"0,0";"2,0";"3,0";"3,0";
"143,0";"09,09,2017";"Сосенское";"Наезд на стоящее ТС";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"27";"0";"  ";"0,0";"2,0";"2,0";"3,0";
"144,0";"09,09,2017";"Внуково";"Столкновение";"";"0";"0";"п Внуково ул Рейсовая 1-я 3 12";"0,0";"1,0";"2,0";"2,0";
"145,0";"09,09,2017";"Фили-Давыдково";"Наезд на пешехода";"";"0";"0";"г Москва ул Филёвская М, 4";"0,0";"2,0";"3,0";"2,0";
"146,0";"09,09,2017";"Марьино";"Столкновение";"";"0";"0";"г Москва ул Новомарьинская 30";"1,0";"4,0";"2,0";"6,0";
"147,0";"09,09,2017";"Раменки";"Наезд на пешехода";"";"0";"0";"г Москва ул Раменки 6, кор,2";"0,0";"1,0";"1,0";"2,0";
"148,0";"09,09,2017";"Пресненский";"Наезд на пешехода";"";"0";"0";"г Москва проезд Шмитовский 24";"0,0";"1,0";"1,0";"2,0";
"149,0";"09,09,2017";"Зюзино";"Наезд на пешехода";"";"0";"0";"г Москва ул Азовская 15";"0,0";"1,0";"1,0";"2,0";
"150,0";"09,09,2017";"Косино-Ухтомский";"Падение пассажира";"";"0";"0";"п Ухтомский ул Руднёвка 24";"0,0";"1,0";"1,0";"2,0";
"151,0";"09,09,2017";"Южнопортовый";"Столкновение";"";"0";"0";"г Москва ул Машиностроения 1-я 18 36";"0,0";"1,0";"3,0";"3,0";
"152,0";"09,09,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 25-1";"0,0";"2,0";"2,0";"4,0";
"153,0";"09,09,2017";"Северное Тушино";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"70";"100";"г Москва  ";"0,0";"2,0";"2,0";"3,0";
"154,0";"09,09,2017";"Раменки";"Столкновение";"";"0";"0";"г Москва пр-кт Ломоносовский 32";"0,0";"1,0";"3,0";"3,0";
"155,0";"09,09,2017";"Алексеевский";"Столкновение";"";"0";"0";"г Москва ул Бориса Галушкина 16";"0,0";"1,0";"2,0";"2,0";
"156,0";"09,09,2017";"Измайлово";"Столкновение";"";"0";"0";"г Москва ул Измайловского Зверинца 2-я 8";"0,0";"1,0";"2,0";"2,0";
"157,0";"09,09,2017";"Отрадное";"Столкновение";"";"0";"0";"г Москва ш Алтуфьевское 12Б";"0,0";"1,0";"2,0";"2,0";
"158,0";"09,09,2017";"Вешняки";"Столкновение";"";"0";"0";"г Москва ул Вешняковская 9";"0,0";"2,0";"2,0";"4,0";
"159,0";"09,09,2017";"Троицк";"Наезд на велосипедиста";"";"0";"0";"г Троицк ул Текстильщиков 4";"0,0";"1,0";"2,0";"2,0";
"160,0";"09,09,2017";"Проспект Вернадского";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Вернадского 76, кор,1";"0,0";"1,0";"1,0";"2,0";
"161,0";"09,09,2017";"Хорошево-Мневники";"Столкновение";"";"0";"0";"г Москва ул Мнёвники Нижн, 13";"0,0";"1,0";"2,0";"2,0";
"162,0";"09,09,2017";"Кунцево";"Наезд на велосипедиста";"";"0";"0";"г Москва ш Рублёвское 34 к,1";"0,0";"1,0";"2,0";"2,0";
"163,0";"09,09,2017";"Даниловский";"Падение пассажира";"";"0";"0";"г Москва ул Дубининская 57 К3";"0,0";"1,0";"1,0";"2,0";
"164,0";"09,09,2017";"Москворечье-Сабурово";"Столкновение";"";"0";"0";"г Москва ш Каширское 32";"0,0";"1,0";"2,0";"2,0";
"165,0";"09,09,2017";"Восточное Дегунино";"Наезд на стоящее ТС";"";"0";"0";"г Москва проезд Яхромский 1А";"0,0";"1,0";"2,0";"2,0";
"166,0";"09,09,2017";"Северное Измайлово";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"104";"400";"г Москва  ";"0,0";"2,0";"2,0";"3,0";
"167,0";"08,09,2017";"Очаково-Матвеевское";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"51";"150";"п Матвеевское  ";"0,0";"2,0";"2,0";"4,0";
"168,0";"08,09,2017";"Хорошево-Мневники";"Падение пассажира";"";"0";"0";"г Москва пр-кт Маршала Жукова 61";"0,0";"1,0";"1,0";"2,0";
"169,0";"08,09,2017";"Кунцево";"Наезд на пешехода";"";"0";"0";"г Москва ул Ивана Франко 12";"0,0";"1,0";"1,0";"2,0";
"170,0";"08,09,2017";"Тропарево-Никулино";"Столкновение";"";"0";"0";"г Москва ул Мичуринский проспект,Олимпийская деревня 10";"0,0";"2,0";"2,0";"2,0";
