"Российская Федерация, г, Москва ДТП - всего (01,09,2017-14,09,2017)";"";"";"";"";"";"";"";"";"";"";"";
"№ п/п";"Дата ДТП";"Район";"Вид ДТП";"Дорога";"КМ";"М";"Адрес";"Погибло";"Ранено";"Кол-во ТС";"Кол-во участников";
"1,0";"14,09,2017";"Зюзино";"Столкновение";"";"0";"0";"г Москва пр-кт Севастопольский 53";"0,0";"1,0";"2,0";"2,0";
"2,0";"14,09,2017";"Тверской";"Падение пассажира";"";"0";"0";"г Москва ул Петровка 38";"0,0";"1,0";"1,0";"2,0";
"3,0";"14,09,2017";"Котловка";"Столкновение";"";"0";"0";"г Москва пр-кт Севастопольский 24";"0,0";"1,0";"2,0";"3,0";
"4,0";"14,09,2017";"Фили-Давыдково";"Столкновение";"";"0";"0";"г Москва ул Герасима Курина 16";"0,0";"1,0";"2,0";"2,0";
"5,0";"14,09,2017";"Головинский";"Наезд на пешехода";"";"0";"0";"г Москва ул Онежская 7 стр 1";"0,0";"1,0";"1,0";"2,0";
"6,0";"14,09,2017";"Филевский парк";"Столкновение";"";"0";"0";"г Москва ул Сеславинская 12";"0,0";"1,0";"2,0";"2,0";
"7,0";"14,09,2017";"Щукино";"Наезд на пешехода";"";"0";"0";"г Москва ул Рогова 16";"0,0";"1,0";"1,0";"2,0";
"8,0";"14,09,2017";"Южное Тушино";"Наезд на пешехода";"";"0";"0";"г Москва ул Фабрициуса 35-1";"1,0";"0,0";"1,0";"2,0";
"9,0";"14,09,2017";"Северное Измайлово";"Наезд на пешехода";"";"0";"0";"г Москва ш Щёлковское 10";"0,0";"1,0";"1,0";"2,0";
"10,0";"14,09,2017";"Чертаново Южное";"Наезд на пешехода";"";"0";"0";"г Москва ул Чертановская 59Б";"1,0";"0,0";"1,0";"2,0";
"11,0";"14,09,2017";"Гольяново";"Наезд на пешехода";"";"0";"0";"г Москва ул Алтайская 16";"0,0";"1,0";"1,0";"2,0";
"12,0";"14,09,2017";"Перово";"Столкновение";"";"0";"0";"г Москва ул Владимирская 1-я 12к1";"0,0";"1,0";"2,0";"2,0";
